Date,Price,Open,High,Low,Vol.,Change %
2021-11-13,4688.46,4665.76,4705.02,4585.37,377110,0.45%
2021-11-12,4667.31,4720.5,4807.16,4511.96,634590,-1.13%
2021-11-11,4720.87,4633.98,4778.17,4578.66,418610,1.87%
2021-11-10,4634.03,4731.83,4864.06,4498.78,761900,-2.07%
2021-11-09,4731.83,4808.34,4836.69,4715.43,437410,-1.59%
2021-11-08,4808.38,4612.05,4822.97,4612.05,673210,4.26%
2021-11-07,4612.06,4517.27,4634.39,4502.7,337810,2.10%
2021-11-06,4517.36,4475,4526.75,4330.29,442600,0.95%
2021-11-05,4475,4534.96,4569.31,4439.67,409750,-1.33%
2021-11-04,4535.11,4601.93,4604.83,4421.87,495860,-1.46%
2021-11-03,4602.21,4586.96,4661.88,4458.87,634680,0.35%
2021-11-02,4586.06,4320.85,4598.38,4287.36,630260,6.14%
2021-11-01,4320.85,4287.41,4376.94,4157.51,574260,0.78%
2021-10-31,4287.56,4322,4393.61,4169.48,555320,-0.77%
2021-10-30,4320.65,4413.7,4428.41,4250.24,494870,-2.11%
2021-10-29,4413.7,4284.9,4458.3,4268.21,781570,3.01%
